",",Категория (такие же как во вкладке Категории),Платформа,HLTB часы,Кто добавил,Дополнительно (Если указан челлендж - при его прохождении человек получает Хорошее колесо),Кто прошел - Отзыв
Bread and Fred,Кооп,PC,,Владус,,
It Takes Two,Кооп,PC,,Владус,,
We were here expeditions,Кооп,PC,,Владус,,
We were here forever,Кооп,PC,,Владус,,
We were here together,Кооп,PC,,Владус,,
Factorio,Симулятор,PC,,Владус,Условия для победы - Сделать желтую колбу,
Power wash simulator,Симулятор,PC,,Владус,,
Power wash simulator 2,Симулятор,PC,,Владус,,
Warcraft 3,Стратегия,PC,,Владус,,
The Coffin Of Andy and Leyley,Читать,PC,,Владус,,
Bendy and the ink machine,Экшен,PC,,Владус,,
The Sinking City Remastered,Экшен,PC,,Владус,,
SCP: Containment Breach Remastered,Экшн,PC,,Владус,,
Danganronpa 2: Goodbye Despair,Читать,PC,,гриша 1,,
SHUTEN ORDER,Джокерге,PC,,гриша 1,,
RUINER,Экшн-шутер,PC,,гриша 1,,
Pokémon Sword and Shield,RPG,Switch (EMULATOR),,гриша 1,любая игра sword или shield (похуй) ,
Final Fantasy IX,Джокерге,PC,,гриша второй,,
King's Bounty (1990),Джокерге,DOS,,гриша второй,,
Victoria 2,джокерге,PC,,гриша второй,Для победы -  доиграть до 1936-го года,
Космические Рейнджеры HD,"Симулятор, стратежка",PC,,гриша второй,,
Red Orchestra 2: Heroes of Stalingrad,стрелялка,PC,,гриша второй,,
ULTRAKILL,Стрелялка,PC,,гриша второй,Челлендж - P rank всей игры,
Jedi Knight: Jedi Academy,"стрелялка, старье",PC,,гриша второй,,
Raging Loop,Читать,PC,,гриша второй,,
Dragon's Dogma: Dark Arisen,Джокерге,PC,,гриша второй,,
Kingdom Come: Deliverance 2,RPG,PC,,гриша второй,,
Middle-Earth: Shadow of Mordor,RPG,PC,,гриша второй,,
Assassin's Creed 2,Адвенчура,PC,,Дензел,,
Outer Wilds,Головоломка,PC,,Дензел,,
Valiant Hearts: The Great War,Головоломка,PC,,Дензел,,
DiRT 2,Гоночки,PC,,Дензел,,
Flatout,Гоночки,PC,,Дензел,,
Flatout 2,Гоночки,PC,,Дензел,,
Need For Speed Carbon,Гоночки,PC,,Дензел,,
Need For Speed Most Wanted,Гоночки,PC,,Дензел,,
Race Driver: Grid (2008),Гоночки,PC,,Дензел,,
Cuphead,Кооп,PC,,Дензел,,
Rayman: Legends,Платформер,PC,,Дензел,,
Bioshock 2,Стрелялка,PC,,Дензел, ,
Bioshock Infinite,Стрелялка,PC,,Дензел,,
Deus Ex (2000),Джокерге,PC,,Дензел,,
Mafia (оригинал),Джокерге,PC,,Дензел,,
Mafia 2,Стрелялка,PC,,Дензел,,
Max Payne,Стрелялка,PC,,Дензел,,
Max Payne 2,Стрелялка,PC,,Дензел,,
Max Payne 3,Стрелялка,PC,,Дензел,,
Medal of Honor: Allied Assault,Стрелялка,PC,,Дензел,,
Metro Exodus,Стрелялка,PC,,Дензел,,
Metro Last Light,Стрелялка,PC,,Дензел,,
Resident Evil 2 (Remake),Стрелялка,PC,,Дензел,Для победы - пройти игру Челлендж - пройти на S ранг,
Resident Evil 3 (Remake),Стрелялка,PC,,Дензел,,
Resident Evil 4 (Remake),Стрелялка,PC,,Дензел,Для победы - пройти игру Челлендж - пройти на S ранг,
